t,x
0.32,-0.630858
0.321,-0.170792
0.322,-0.581746
0.323,-0.59172
0.324,-0.413275
0.325,-0.497495
0.326,-0.39651
0.327,-0.360011
0.328,-0.415413
0.329,-0.51775
0.33,-0.398994
0.331,-0.395084
0.332,-0.482194
0.333,-0.426773
0.334,-0.502515
0.335,-0.493287
0.336,-0.531873
0.337,-0.501594
0.338,-0.491157
0.339,-0.500911
0.34,-0.547187
0.341,0.180629
0.342,-0.489368
0.343,-0.479749
0.344,-0.297565
0.345,-0.453225
0.346,-0.337534
0.347,-0.541723
0.348,-0.315198
0.349,-0.194668
0.35,-0.502632
0.351,-0.506497
0.352,-0.485741
0.353,-0.646897
0.354,-0.499533
0.355,-0.283694
0.356,-0.775957
0.357,-0.497116
0.358,-0.443088
0.359,-0.571835
0.36,-0.236235
0.361,-0.337045
0.362,-0.546127
0.363,-0.408135
0.364,-0.60928
0.365,-0.087281
0.366,-0.776494
0.367,-0.187989
0.368,-0.286118
0.369,-0.282887
0.37,-0.490994
0.371,-0.985391
0.372,-0.336694
0.373,-0.715269
0.374,-0.408878
0.375,-0.241515
0.376,-0.185149
0.377,-0.411668
0.378,-0.644642
0.379,-0.30522
0.38,-0.49938
0.381,-0.777837
0.382,-0.51661
0.383,-0.326359
0.384,-0.42651
0.385,-0.559867
0.386,-0.512088
0.387,-0.652051
0.388,-0.562369
0.389,-0.398369
0.39,-0.843193
0.391,-0.827671
0.392,-0.597557
0.393,-0.327673
0.394,-0.266195
0.395,-0.425108
0.396,-0.128143
0.397,-0.117343
0.398,-0.61223
0.399,-0.463875
0.4,0.132285
0.401,-0.434459
0.402,-0.260712
0.403,-0.595684
0.404,-0.340702
0.405,-0.169233
0.406,-0.270105
0.407,-0.527117
0.408,-0.473986
0.409,-0.316115
0.41,-0.540608
0.411,-0.486245
0.412,-0.724363
0.413,-0.284512
0.414,-0.61962
0.415,-0.367307
0.416,-0.553664
0.417,-0.310985
0.418,-0.230983
0.419,-0.572567
0.42,-0.71108
0.421,-0.720686
0.422,-0.222591
0.423,-0.632896
0.424,-0.689796
0.425,-0.175105
0.426,-0.289309
0.427,-0.388781
0.428,-0.640882
0.429,-0.467476
0.43,-0.148543
0.431,-0.186409
0.432,-0.579771
0.433,-0.695199
0.434,-0.462946
0.435,-0.339823
