x,p,E
-1.48603817,1.6142964678063314e-05,11.034026226856486
-1.4447405100000004,0.0,
-1.4034428500000002,8.071482339031657e-06,11.727173407416432
-1.3621451900000001,7.264334105128452e-05,9.529948830080217
-1.32084753,0.00013721519976353817,8.893960063360215
-1.2795498700000003,0.00037128818759545425,7.898532010927341
-1.2382522100000002,0.0007748623045470391,7.162825215948595
-1.19695455,0.0019452272437066294,6.242376473925776
-1.1556568900000004,0.004035741169515807,5.512565308994245
-1.1143592300000003,0.008531556832356416,4.7639834215461985
-1.0730615700000001,0.01624789394847073,4.11979198177664
-1.03176391,0.031624067804326035,3.453836808911945
-0.9904662500000002,0.054902222870093186,2.902201441849293
-0.9491685900000002,0.09019074365633949,2.4058284773973395
-0.9078709300000002,0.14959685367161232,1.899811245269797
-0.8665732700000002,0.23389541522045876,1.452881207035766
-0.8252756100000002,0.35324842456771954,1.0405837172498953
-0.7839779500000001,0.505177936635312,0.6828445619944858
-0.7426802900000001,0.6943734826622135,0.36474530377556114
-0.7013826300000001,0.9168961792669766,0.08676103094665921
-0.6600849700000001,1.158015571180872,-0.14670782567600474
-0.6187873100000002,1.4125255522952143,-0.34537927399534035
-0.5774896500000002,1.6366948312971399,-0.4926788615221118
-0.5361919900000002,1.817859252396705,-0.5976595738345829
-0.49489433000000016,1.9377207651313249,-0.661512419047908
-0.45359667000000015,1.9873280955870185,-0.6867910710192274
-0.41229901000000024,1.9438550917089836,-0.6646731619579432
-0.3710013500000001,1.8265118814641519,-0.6024080722767464
-0.3297036900000002,1.6432973038504632,-0.49670477451153416
-0.2884060300000001,1.4105399676398163,-0.34397258685414966
-0.2471083700000002,1.1774517006532537,-0.1633525275136518
-0.20581071000000006,0.9333700747209427,0.06895350648932454
-0.16451305000000016,0.7095720839066121,0.34309318936574185
-0.12321539000000026,0.5252759276594994,0.64383157796318
-0.08191773000000013,0.3680999520715387,0.9994007688021722
-0.04062007000000023,0.25355754619833915,1.3721644750134585
0.0006775899999998947,0.16431923745800647,1.805944173404146
0.0419752499999998,0.10212846603576702,2.2815237872271728
0.08327290999999992,0.06324813560865207,2.7606896283519995
0.12457056999999983,0.036103740502488414,3.321358803983588
0.16586822999999995,0.02163157266860484,3.833601333911529
0.20716588999999985,0.011655220497561713,4.45200108796366
0.24846354999999976,0.006013254342578553,5.1137891890368765
0.2897612099999999,0.0030429488418149348,5.79492821996842
0.3310588699999998,0.001590082020789228,6.443969678678448
0.3723565299999999,0.0004681459756638361,7.666730396870012
0.4136541899999998,0.00035514522291739105,7.942983773498175
0.45495184999999994,0.00010492927040741156,9.162224049954894
0.49624950999999984,4.0357411695158284e-05,10.11773549498233
0.5375471699999997,2.421444701709478e-05,10.62856111874833
