t,h,w,c
0.0,1.0281534727938464,0.5143057288835334,6.405798698774295e-17
1.0001000100010001e-05,0.9956732277449821,0.4792082704108297,7.772456598846331e-17
2.0002000200020003e-05,0.9625641302017233,0.4457162679405185,7.772456851981188e-17
3.0003000300030004e-05,0.9282996292080373,0.41405386932554755,7.772456853150741e-17
4.0004000400040005e-05,0.8952804674256258,0.38493738453851123,7.772456853150993e-17
5.000500050005001e-05,0.8616136400809692,0.3573621572390061,7.772456853150997e-17
6.000600060006001e-05,0.8293290671967403,0.3317929276160303,7.772456853150997e-17
7.000700070007002e-05,0.7981124121558374,0.30860310481014996,7.772456853150997e-17
8.000800080008001e-05,0.7671562062802489,0.2871890583281336,7.772456853150997e-17
9.000900090009e-05,0.7375803586419287,0.26750918950007085,7.772456853150997e-17
0.00010001000100010001,0.7091609196858023,0.2498801630646178,7.772456853150997e-17
0.00011001100110011002,0.6813279369706192,0.23368429497915483,7.772456853150997e-17
0.00012001200120012002,0.6544432365170875,0.21928641540621913,7.772456853150997e-17
0.00013001300130013,0.6294988914800711,0.20667327965967314,7.772456853150997e-17
0.00014001400140014003,0.605238008223092,0.19512398971506886,7.772456853150997e-17
0.00015001500150015003,0.5817190292604154,0.18520232835910252,7.772456853150997e-17
0.00016001600160016002,0.5592453767127445,0.17652152018059353,7.772456853150997e-17
0.00017001700170017002,0.5386498151944322,0.16961932176199881,7.772456853150997e-17
0.00018001800180018,0.5187195682716204,0.16446743566147187,7.772456853150997e-17
0.00019001900190019003,0.4996180451394605,0.159700803521267,7.772456853150997e-17
0.00020002000200020003,0.4813095079573696,0.15528675674706893,7.772456853150997e-17
0.00021002100210021002,0.4640541582223307,0.15128968828371078,7.772456853150997e-17
0.00022002200220022004,0.44771760320358217,0.14767576849450503,7.772456853150997e-17
0.00023002300230023004,0.43208059442914526,0.14431519032241277,7.772456853150997e-17
0.00024002400240024003,0.4171275721393256,0.14122867290232935,7.772456853150997e-17
0.00025002500250025,0.40284310207186674,0.13843785210604426,7.772456853150997e-17
0.00026002600260026,0.3895737549257186,0.1358286960820679,7.772456853150997e-17
0.00027002700270027,0.37697526418123406,0.13341475896506796,7.772456853150997e-17
0.00028002800280028006,0.36511011160905943,0.13120369996831815,7.772456853150997e-17
0.00029002900290029006,0.3538581650540385,0.12912448865703038,7.772456853150997e-17
0.00030003000300030005,0.3431130492854397,0.12718637370195704,7.772456853150997e-17
0.00031003100310031005,0.33287739438346264,0.12538798617355,7.772456853150997e-17
0.00032003200320032004,0.3230035450142474,0.12370375377368979,7.772456853150997e-17
0.00033003300330033004,0.31357215183741893,0.12213573415874153,7.772456853150997e-17
0.00034003400340034003,0.3044560750373913,0.12066632889904139,7.772456853150997e-17
0.00035003500350035,0.29582645334807467,0.11926983556388325,7.772456853150997e-17
0.00036003600360036,0.28746078466104563,0.11794874698180326,7.772456853150997e-17
0.00037003700370037007,0.27935194565305926,0.11670035514537162,7.772456853150997e-17
0.00038003800380038006,0.27149263786221867,0.11550834751763484,7.772456853150997e-17
0.00039003900390039006,0.2640132173332401,0.11437326192715265,7.772456853150997e-17
0.00040004000400040005,0.25677189345872686,0.11329350119492441,7.772456853150997e-17
0.00041004100410041005,0.249742938563839,0.1122582938474852,7.772456853150997e-17
0.00042004200420042004,0.24292031852820284,0.11126706155066757,7.772456853150997e-17
0.00043004300430043004,0.23640084635911307,0.11031911879619148,7.772456853150997e-17
0.0004400440044004401,0.23008088882346664,0.10940710026655519,7.772456853150997e-17
0.0004500450045004501,0.22393833752640166,0.10853518607497918,7.772456853150997e-17
0.0004600460046004601,0.21796826591115645,0.10772291644475618,7.772456853150997e-17
0.00047004700470047007,0.21224371832560315,0.1069392971669487,7.772456853150997e-17
0.00048004800480048006,0.20668473030581688,0.10618307415571725,7.772456853150997e-17
0.0004900490049004901,0.20127576851103754,0.10545439422899011,7.772456853150997e-17
0.0005000500050005,0.19601280842242955,0.10474957146173498,7.772456853150997e-17
0.00051005100510051,0.19093848215628642,0.10406737117872884,7.772456853150997e-17
0.00052005200520052,0.1860145879871214,0.10340799511955984,7.772456853150997e-17
0.00053005300530053,0.18128668650871696,0.10276876252774403,7.772456853150997e-17
0.00054005400540054,0.17668378951763025,0.10214866768288604,7.772456853150997e-17
0.00055005500550055,0.17220142476074224,0.10156866228418379,7.772456853150997e-17
0.0005600560056005601,0.16787240656912097,0.10101110810733208,7.772456853150997e-17
0.0005700570057005701,0.16365078621078677,0.10046912265801577,7.772456853150997e-17
0.0005800580058005801,0.1595340123810573,0.0999423502227218,7.772456853150997e-17
0.0005900590059005901,0.15551956953006088,0.09942981445701116,7.772456853150997e-17
0.0006000600060006001,0.15160498166199435,0.0989307207439798,7.772456853150997e-17
0.0006100610061006101,0.14779313772095,0.09844464182455803,7.772456853150997e-17
0.0006200620062006201,0.14409532820444176,0.0979709476806234,7.772456853150997e-17
0.0006300630063006301,0.1404877976884204,0.09752409004862189,7.772456853150997e-17
0.0006400640064006401,0.13696843897431868,0.09709552150635183,7.772456853150997e-17
0.0006500650065006501,0.13353518133223713,0.09667705105165784,7.772456853150997e-17
0.0006600660066006601,0.1301859918734118,0.0962681336107964,7.772456853150997e-17
0.0006700670067006701,0.1269188765703498,0.09586839523902585,7.772456853150997e-17
0.0006800680068006801,0.12373188096789807,0.0954775259805008,7.772456853150997e-17
0.0006900690069006901,0.12062309062567615,0.09509507333366743,7.772456853150997e-17
0.0007000700070007,0.11759063132970882,0.09472070292183007,7.772456853150997e-17
0.00071007100710071,0.11464087155625677,0.09437225685470568,7.772456853150997e-17
0.00072007200720072,0.11176469770699907,0.09403107609049445,7.772456853150997e-17
0.0007300730073007301,0.10895846358838362,0.09369645604165017,7.772456853150997e-17
0.0007400740074007401,0.1062205367098386,0.09336817730321385,7.772456853150997e-17
0.0007500750075007501,0.10354931776458387,0.09304597444627183,7.772456853150997e-17
0.0007600760076007601,0.10094324047860666,0.09272961238043713,7.772456853150997e-17
0.0007700770077007701,0.09840077138498447,0.09241888945484891,7.772456853150997e-17
0.0007800780078007801,0.09593269502465053,0.09211746248249894,7.772456853150997e-17
0.0007900790079007901,0.09354082515463591,0.09183204808412031,7.772456853150997e-17
0.0008000800080008001,0.09120633142458463,0.09155117043152926,7.772456853150997e-17
0.0008100810081008101,0.08892790135029992,0.09127467044603746,7.772456853150997e-17
0.0008200820082008201,0.08670424910912895,0.09100238488382768,7.772456853150997e-17
0.0008300830083008301,0.08453411528193328,0.09073416827202174,7.772456853150997e-17
0.0008400840084008401,0.08241626657016582,0.09046988496747299,7.772456853150997e-17
0.0008500850085008501,0.080349495491204,0.09020939294191913,7.772456853150997e-17
0.0008600860086008601,0.07833262005448952,0.08995382776090806,7.772456853150997e-17
0.0008700870087008701,0.07636448342064103,0.08971200124991902,7.772456853150997e-17
0.0008800880088008802,0.0744439535454451,0.08947320224779502,7.772456853150997e-17
0.0008900890089008902,0.07256992281048429,0.08923733075470361,7.772456853150997e-17
0.0009000900090009002,0.07074130764209224,0.08900429332144219,7.772456853150997e-17
0.0009100910091009102,0.06895704812027383,0.08877399618436455,7.772456853150997e-17
0.0009200920092009201,0.0672161075792138,0.08854635052535387,7.772456853150997e-17
0.0009300930093009301,0.06551747220096578,0.08832127281071142,7.772456853150997e-17
0.0009400940094009401,0.06386015060388461,0.08809868142641945,7.772456853150997e-17
0.0009500950095009501,0.062243173427306994,0.08787867378840662,7.772456853150997e-17
0.0009600960096009601,0.06066559291392187,0.0876694239658818,7.772456853150997e-17
0.0009700970097009701,0.05912648249118167,0.08746214068643847,7.772456853150997e-17
0.0009800980098009801,0.0576249363530106,0.08725676377579279,7.772456853150997e-17
0.0009900990099009901,0.05616006904294972,0.08705323619281768,7.772456853150997e-17
0.001000100010001,0.054731015039768426,0.08685150335680923,7.772456853150997e-17
0.00101010101010101,0.053336928346450055,0.08665151179802327,7.772456853150997e-17
0.00102010201020102,0.05197698208333882,0.08645321062197232,7.772456853150997e-17
0.00103010301030103,0.0506503680861272,0.08625655120185911,7.772456853150997e-17
0.00104010401040104,0.04935629650924736,0.08606148596036975,7.772456853150997e-17
0.00105010501050105,0.048093995435136275,0.08586796945539035,7.772456853150997e-17
0.00106010601060106,0.04686271048974482,0.08567684607989956,7.772456853150997e-17
0.00107010701070107,0.04566170446458661,0.08549231401093974,7.772456853150997e-17
0.00108010801080108,0.04449025694553882,0.08530899845249428,7.772456853150997e-17
0.00109010901090109,0.043347663948553355,0.08512686706800875,7.772456853150997e-17
0.0011001100110011,0.04223323756237157,0.08494588857181892,7.772456853150997e-17
0.00111011101110111,0.041146305598293006,0.08476603278172876,7.772456853150997e-17
0.0011201120112011203,0.040091681036958864,0.08458727068689455,7.772456853150997e-17
0.0011301130113011303,0.039066435741409784,0.08440957428459538,7.772456853150997e-17
0.0011401140114011402,0.03806624138271824,0.08423291650317037,7.772456853150997e-17
0.0011501150115011502,0.03709051022495952,0.08405727128751611,7.772456853150997e-17
0.0011601160116011602,0.03613866749123041,0.08388261351000563,7.772456853150997e-17
0.0011701170117011702,0.03521015110394875,0.08370891885538953,7.772456853150997e-17
0.0011801180118011802,0.034304411429631296,0.08353616389577304,7.772456853150997e-17
0.0011901190119011902,0.03342091102811878,0.08336432603931464,7.772456853150997e-17
0.0012001200120012002,0.032559124406207306,0.08319338341663374,7.772456853150997e-17
0.0012101210121012102,0.03171853777563964,0.08302570813068855,7.772456853150997e-17
0.0012201220122012202,0.030898648815408422,0.08286017238732701,7.772456853150997e-17
0.0012301230123012302,0.03009896643831703,0.08269534513889117,7.772456853150997e-17
0.0012401240124012402,0.029319010561745993,0.08253121146388921,7.772456853150997e-17
0.0012501250125012502,0.02855831188257059,0.08236775695836816,7.772456853150997e-17
0.0012601260126012602,0.027816411656178885,0.08220496769420385,7.772456853150997e-17
0.0012701270127012702,0.027092861479537645,0.08204283021512421,7.772456853150997e-17
0.0012801280128012802,0.026387223078259428,0.08188133152409717,7.772456853150997e-17
0.0012901290129012902,0.02569906809762491,0.08172045905532052,7.772456853150997e-17
0.0013001300130013002,0.02502797789751787,0.08156020065997661,7.772456853150997e-17
0.0013101310131013102,0.0243735433512348,0.08140054459773545,7.772456853150997e-17
0.0013201320132013201,0.023735364648134343,0.08124147951663817,7.772456853150997e-17
0.0013301330133013301,0.023113051100093547,0.081082994435943,7.772456853150997e-17
0.0013401340134013401,0.022506220951746165,0.08092507873906651,7.772456853150997e-17
0.0013501350135013501,0.021914501194476032,0.08076772215817168,7.772456853150997e-17
0.0013601360136013601,0.02133752738414583,0.08061091475738129,7.772456853150997e-17
0.0013701370137013701,0.02077494346254358,0.08045464692611627,7.772456853150997e-17
0.0013801380138013801,0.020226401582528995,0.08029890936662525,7.772456853150997e-17
0.0013901390139013901,0.019691561936867902,0.0801436930788376,7.772456853150997e-17
0.0014001400140014,0.019170092590738718,0.07998898935389907,7.772456853150997e-17
0.00141014101410141,0.018661669317899275,0.07983478976309295,7.772456853150997e-17
0.00142014201420142,0.018165975440498704,0.0796810861458079,7.772456853150997e-17
0.00143014301430143,0.017682701672517707,0.07952787060202962,7.772456853150997e-17
