t,h,w,c
0.0,1.2193540800000024,0.9322493200000027,0.11362504000001396
1e-05,1.2221540800000017,0.9362493200000023,0.02282119999999965
2e-05,1.1297540800000019,0.8526493200000034,0.03205595999999657
3.0000000000000004e-05,1.018249320000001,0.7114493200000039,0.03381068000000091
4e-05,0.908249320000002,0.5922493200000043,0.022759919999995968
5e-05,0.7998493200000028,0.4630493200000045,0.04663836000000726
6.000000000000001e-05,0.6986493200000037,0.36635456,0.04543439999999684
7.000000000000001e-05,0.5962493200000043,0.28226971999999945,0.032285879999989164
8e-05,0.513849320000004,0.22237495999999607,0.021887559999994494
9e-05,0.4434493200000025,0.16555455999999505,0.023883320000011372
0.0001,0.3842493200000007,0.12995455999999375,0.019262960000004062
0.00011,0.33264932000000036,0.08984931999999408,0.026249959999995964
0.00012000000000000002,0.2803545599999976,0.07436283999999162,0.03885120000000676
0.00013000000000000002,0.22995455999999598,0.0647547999999911,0.042964079999997365
0.00014000000000000001,0.19784931999999675,0.06298315999999646,0.02996759999999947
0.00015000000000000001,0.16184931999999624,0.03548987999999538,0.032677400000005324
0.00016,0.14024931999999515,0.02683151999999535,0.045251759999994076
0.00017,0.13544931999999543,0.03014603999999561,0.03253639999999553
0.00018,0.09559183999999207,0.036841880000002415,0.03916900000000475
0.00019,0.07341175999999208,0.045269640000001866,0.037521799999993895
0.0002,0.0658697199999925,0.032739800000002525,0.04286279999998953
0.00021,0.063849319999993,0.02788392000000457,0.019273199999997225
0.00022,0.05011851999999749,0.02417567999999466,0.028305919999996525
0.00023,0.04066499999999075,0.03997916000000018,0.03196660000000026
0.00024000000000000003,0.0472585599999945,0.027041280000002273,0.021543439999989842
0.00025,0.038833839999996116,0.028365200000000614,0.031374440000005124
0.00026000000000000003,0.030417439999989172,0.028721959999996886,0.011919599999995081
0.00027,0.04200319999999626,0.02285347999999496,0.026191320000005028
0.00028000000000000003,0.03267272000000813,0.047877720000002566,0.024809760000005707
0.00029,0.03240220000000619,0.01571343999999971,0.024855039999999353
0.00030000000000000003,0.04183504000000289,0.01923019999999879,0.02801220000000732
0.00031,0.025004120000007183,0.03237091999999471,0.03500067999999711
0.00032,0.029701039999999512,0.01746140000000947,0.02748967999999468
0.00033000000000000005,0.015891160000007544,0.0312830000000121,0.03294719999999048
0.00034,0.028635560000001142,0.03287992000000179,0.02554711999998995
0.00035000000000000005,0.041550440000007335,0.023209480000011287,0.010672400000005307
0.00036,0.023784280000010666,0.031061879999995313,0.02670888000000206
0.00037000000000000005,0.020372520000007926,0.04794180000000248,0.029477840000004998
0.00038,0.02460932000000419,0.02709668000000595,0.026068320000011753
0.00039000000000000005,0.020499240000010042,0.019007640000004038,0.03775664000000002
0.0004,0.037713040000008226,0.03032928000000138,0.024583679999994962
0.00041000000000000005,0.01656507999999631,0.02176500000000153,0.01746472000000502
0.00042,0.019593400000005954,0.015469040000004852,0.037620239999996474
0.00043000000000000004,0.03133800000000782,0.030599200000006706,0.0409752399999949
