t, h, w, c
0.0,1.0082643200000005,0.48452616000000104,0.06782479999999826
1e-05,0.999864320000001,0.496926160000001,0.06159619999999868
2e-05,0.9770643200000011,0.46972616000000106,0.04064735999999697
3.0000000000000004e-05,0.938664320000001,0.44812616000000105,0.06044619999999752
4e-05,0.9077921600000008,0.40692680000000114,0.048536439999997086
5e-05,0.8882025200000008,0.3853268000000012,0.06744323999999968
6.000000000000001e-05,0.8638025200000008,0.3489268000000014,0.05584927999999944
7.000000000000001e-05,0.8454025200000006,0.32892680000000146,0.05478311999999892
8e-05,0.813002520000001,0.3189268000000014,0.06254456000000042
9e-05,0.780202520000001,0.29652680000000126,0.05501615999999875
0.0001,0.7530025200000017,0.2857725200000015,0.05672472000000051
0.00011,0.7282025200000019,0.2585725200000016,0.04303695999999557
0.00012000000000000002,0.7106137200000018,0.25777252000000117,0.04350699999999684
0.00013000000000000002,0.684202520000002,0.23697252000000088,0.0402381599999966
0.00014000000000000001,0.6650025200000018,0.22802240000000057,0.04485067999999686
0.00015000000000000001,0.635802520000002,0.21486884000000045,0.05525419999999713
0.00016,0.6098856000000017,0.20565776000000038,0.044697679999997096
0.00017,0.6010137200000019,0.20656032000000019,0.05382683999999816
0.00018,0.574613720000002,0.2075659199999998,0.035441399999997444
0.00019,0.5622744000000018,0.1968570400000002,0.03203068000000163
0.0002,0.5502137200000021,0.1914662000000007,0.051224920000002075
0.00021,0.5306856000000016,0.1823315999999995,0.03618828000000217
0.00022,0.5093093200000013,0.1711644399999996,0.03928392000000144
0.00023,0.5053812000000012,0.17974995999999982,0.030397320000003128
0.00024000000000000003,0.4790856000000017,0.1712230799999989,0.030928280000002747
0.00025,0.47978120000000096,0.16842307999999898,0.03542112000000314
0.00026000000000000003,0.46010932000000176,0.16151939999999876,0.055550559999999055
0.00027,0.4440060400000008,0.15753123999999866,0.04513456000000355
0.00028000000000000003,0.44919620000000143,0.14872087999999833,0.03534820000000463
0.00029,0.43789292000000174,0.1485353599999984,0.03976491999999949
0.00030000000000000003,0.4142210400000015,0.14813387999999844,0.05117504000000448
0.00031,0.3882929200000008,0.1534029599999983,0.038249360000003056
0.00032,0.3794929200000012,0.14547171999999872,0.038790360000002994
0.00033000000000000005,0.3738929200000011,0.1407193999999986,0.05384780000000113
0.00034,0.35869292000000097,0.1474558399999987,0.034301320000002376
0.00035000000000000005,0.3496060400000011,0.1346161199999988,0.037953799999998664
0.00036,0.33960604000000116,0.13517087999999838,0.0451633599999997
0.00037000000000000005,0.32742104000000133,0.1344742799999985,0.040519320000002815
0.00038,0.3154798800000002,0.13957087999999832,0.047435720000003526
0.00039000000000000005,0.3074929200000006,0.13298535999999792,0.038115879999999526
0.0004,0.29646235999999915,0.12940295999999832,0.060913280000003046
0.00041000000000000005,0.2921138399999995,0.12787531999999843,0.05130604000000248
0.00042,0.2920530399999997,0.13084387999999877,0.053446440000003634
0.00043000000000000004,0.27817547999999925,0.13214111999999886,0.05653380000000248
0.00044,0.2692623599999993,0.13757091999999874,0.034072280000002154
0.00045000000000000004,0.26622695999999907,0.13429127999999896,0.03251408000000229
0.00046,0.27182695999999945,0.12705923999999855,0.04057252000000219
0.00047000000000000004,0.25439047999999914,0.12698687999999855,0.03235080000000208
0.00048000000000000007,0.2512425999999991,0.1217311199999985,0.035713680000003384
0.0004900000000000001,0.24166299999999855,0.12122783999999849,0.05015492000000254
0.0005,0.2476425999999992,0.11719327999999839,0.03790568000000293
0.00051,0.2445144799999988,0.11719327999999832,0.046895520000003243
0.0005200000000000001,0.23745171999999948,0.11834539999999805,0.05117768000000368
0.0005300000000000001,0.22731383999999874,0.11473319999999809,0.04595804000000315
0.00054,0.22444851999999957,0.10868999999999837,0.046880480000004165
0.00055,0.22811447999999834,0.10929443999999788,0.04752844000000371
0.0005600000000000001,0.217569679999998,0.10794755999999815,0.04666876000000423
0.0005700000000000001,0.21508323999999812,0.10489127999999803,0.05051932000000507
0.00058,0.22773515999999863,0.1044017599999984,0.054140720000003174
0.00059,0.22246299999999833,0.10035523999999804,0.057446560000000514
0.0006000000000000001,0.22417611999999834,0.0986905599999976,0.048335520000002796
0.0006100000000000001,0.23057611999999839,0.09951123999999799,0.046533520000002986
0.00062,0.21996903999999812,0.09920175999999811,0.03370008000000271
0.00063,0.20823631999999875,0.09915027999999788,0.041117600000000226
0.00064,0.2134935999999981,0.0962560799999979,0.03998132000000167
0.0006500000000000001,0.208462999999998,0.09933239999999748,0.039079640000003434
0.0006600000000000001,0.21006299999999817,0.0959075599999979,0.04304900000000372
0.00067,0.2106733199999982,0.09729931999999748,0.051507599999998335
0.00068,0.20702119999999782,0.09846723999999792,0.040631080000002165
0.0006900000000000001,0.1951296399999986,0.09853799999999806,0.040809759999997
0.0007000000000000001,0.1919970399999987,0.09489915999999769,0.04568440000000057
0.00071,0.17686235999999725,0.09311363999999794,0.046326119999998756
0.00072,0.17601311999999938,0.09464127999999765,0.04143316000000068
0.0007300000000000001,0.16342823999999923,0.09286803999999817,0.044010320000001026
0.0007400000000000001,0.16062175999999906,0.09019491999999785,0.03400103999999813
0.00075,0.1523392799999981,0.09619119999999798,0.03198092000000008
0.00076,0.15403147999999775,0.09542123999999813,0.035493399999998905
0.0007700000000000001,0.1417087199999965,0.0950381599999978,0.04873667999999757
0.0007800000000000001,0.14767259999999785,0.09516691999999786,0.05772027999999787
