f,S
0.0,5.560948272268074e-05
0.666666666666666,5.5609323767784774e-05
1.33333333333333,5.5608846908553676e-05
2.0,5.560805216135742e-05
2.66666666666667,5.560693955349834e-05
3.33333333333333,5.560550912312631e-05
4.0,5.560376091940044e-05
4.66666666666667,5.560169500225805e-05
5.33333333333333,5.55993114426363e-05
6.0,5.559661032234244e-05
6.66666666666666,5.559359173400554e-05
7.33333333333333,5.559025578123345e-05
8.0,5.558660257837721e-05
8.66666666666666,5.558263225076856e-05
9.33333333333333,5.557834493448253e-05
10.0,5.557374077653177e-05
10.6666666666667,5.5568819934668624e-05
11.3333333333333,5.556358257749516e-05
12.0,5.555802888436643e-05
12.6666666666667,5.555215904545742e-05
13.3333333333333,5.554597326172624e-05
14.0,5.5539471744814597e-05
14.6666666666667,5.553265471713263e-05
15.3333333333333,5.5525522411798765e-05
16.0,5.5518075072619805e-05
16.6666666666667,5.551031295402905e-05
17.3333333333333,5.550223632114683e-05
18.0,5.549384544971678e-05
18.6666666666667,5.548514062612344e-05
19.3333333333333,5.547612214718314e-05
20.0,5.546679032044718e-05
20.6666666666667,5.545714546386785e-05
21.3333333333333,5.544718790595608e-05
22.0,5.543691798563057e-05
22.6666666666667,5.542633605229152e-05
23.3333333333333,5.541544246577057e-05
24.0,5.5404237596259284e-05
24.6666666666667,5.5392721824298413e-05
25.3333333333333,5.5380895540745695e-05
26.0,5.5368759146702e-05
26.6666666666667,5.5356313053620614e-05
27.3333333333333,5.534355768306813e-05
28.0,5.533049346685248e-05
28.6666666666667,5.5317120846904856e-05
29.3333333333333,5.5303440275242685e-05
30.0,5.528945221403362e-05
30.6666666666667,5.5275157135373244e-05
31.3333333333333,5.526055552138835e-05
32.0,5.524564786419649e-05
32.6666666666667,5.5230434665742755e-05
33.3333333333333,5.521491643792068e-05
34.0,5.519909370240749e-05
34.6666666666667,5.51829669906817e-05
35.3333333333333,5.5166536843897705e-05
36.0,5.514980381300324e-05
36.6666666666667,5.513276845853128e-05
37.3333333333333,5.51154313505943e-05
38.0,5.509779306891815e-05
