t,x
0.337,0.127491
0.338,-0.425164
0.339,-0.051471
0.34,-0.236289
0.341,-0.19498
0.342,-0.244359
0.343,-0.425457
0.344,0.008949
0.345,0.054732
0.346,0.339483
0.347,0.034066
0.348,0.041224
0.349,0.14731
0.35,0.17582
0.351,0.058187
0.352,0.16769
0.353,0.105074
0.354,0.128124
0.355,-0.210665
0.356,0.215827
0.357,-0.075537
0.358,0.200155
0.359,0.16724
0.36,-0.072524
0.361,0.006581
0.362,0.057448
0.363,-0.197935
0.364,0.004835
0.365,-0.012245
0.366,0.058019
0.367,0.166169
0.368,0.447764
0.369,0.275637
0.37,0.382196
0.371,-0.277303
0.372,0.033773
0.373,0.051812
0.374,-0.083717
0.375,-0.188731
0.376,-0.207192
0.377,-0.141695
0.378,-0.201541
0.379,0.038089
0.38,0.252619
0.381,0.018561
0.382,0.263117
0.383,0.061447
0.384,-0.178781
0.385,-0.050605
0.386,-0.167312
0.387,0.001187
0.388,-0.100339
0.389,0.231921
0.39,-0.067731
0.391,-0.026686
0.392,-0.450458
0.393,-0.124054
0.394,0.178741
0.395,0.247914
0.396,0.113313
0.397,0.379795
0.398,-0.221576
0.399,0.309377
0.4,-0.20872
0.401,-0.166836
0.402,0.050887
0.403,-0.286948
0.404,-0.036406
0.405,-0.135569
0.406,0.048562
0.407,0.033692
0.408,0.14886
0.409,0.106765
0.41,-0.032606
0.411,0.107966
0.412,0.059118
0.413,0.063317
0.414,0.084601
0.415,-0.023233
0.416,0.099759
0.417,-0.085046
0.418,-0.340754
0.419,-0.106119
0.42,0.073825
0.421,-0.040244
0.422,0.10176
0.423,0.184894
0.424,0.023879
0.425,-0.135501
0.426,0.314523
0.427,-0.05299
0.428,0.159503
0.429,-0.21298
0.43,0.266387
0.431,0.307008
0.432,0.004748
0.433,0.305293
0.434,0.012272
0.435,0.08931
0.436,-0.081208
0.437,0.234443
0.438,0.43014
0.439,0.391947
0.44,-0.106089
0.441,-0.008952
0.442,0.223649
0.443,0.169199
0.444,0.10275
0.445,-0.076247
0.446,-0.289238
0.447,0.218766
0.448,-0.125343
0.449,0.569764
0.45,-0.0113
0.451,0.125531
0.452,0.140243
0.453,-0.204623
0.454,0.010586
0.455,-0.231162
0.456,0.323258
0.457,-0.021919
0.458,0.019628
0.459,0.229218
0.46,0.05908
0.461,0.28806
0.462,0.191453
0.463,0.072982
0.464,0.107973
0.465,-0.049925
0.466,0.138839
0.467,0.332918
0.468,-0.212717
0.469,-0.110645
