x,p,E,dE
-0.8799723,1.755970959752268e-05,10.949903507620553,1.0
-0.8040409000000001,0.00010535825758513607,9.158144038392496,0.40824829046386296
-0.7281095000000001,0.0006409294003095769,7.352591247032108,0.16552117772047384
-0.6521781,0.0026822456410215893,5.921100909568848,0.08091133940627349
-0.5762467,0.010829950894272113,4.525439752211086,0.040266642685651055
-0.5003153,0.03454433870572649,3.3655116002054593,0.022546037396004668
-0.42438390000000004,0.1008761417103684,2.2938618343855066,0.013193634024150382
-0.34845250000000005,0.2555201142083513,1.364454147551104,0.008289839422598949
-0.27252110000000007,0.5327308596970424,0.6297389360124133,0.0057412272447167016
-0.1965897000000001,0.9454454942224167,0.056099040115466695,0.004309634273718854
-0.12065830000000011,1.4465205874425253,-0.36916107792352415,0.0034841460774962217
-0.044726900000000125,1.8848504483432829,-0.6338484800036468,0.0030522507984785036
0.03120449999999997,2.094311444277335,-0.7392248331354538,0.0028955964244205975
0.10713589999999995,1.966375790077184,-0.6761921479542006,0.002988308329472528
0.18306729999999993,1.594807945066205,-0.46675331837006817,0.0033182145959965684
0.2589986999999999,1.1027673224340218,-0.09782276827583825,0.0039904026517428364
0.3349300999999999,0.6523256518383701,0.4272113757373437,0.005188316200525482
0.4108614999999999,0.3292928441549434,1.1108078203098326,0.007302431941360504
0.48679289999999986,0.143032614526621,1.944682601114328,0.011080034840116326
0.5627242999999998,0.05063342262445665,2.9831433945650847,0.0186225874400331
0.6386556999999998,0.015882757330959264,4.142521202785202,0.03325031120358776
0.7145870999999998,0.004152871319814114,5.4839552996885645,0.0650256088762355
0.7905184999999998,0.0010974818498451675,6.8147369508781965,0.12649110640673517
0.8664498999999998,0.0002590057165634588,8.258660424834726,0.26037782196164844
0.9423813,7.901869318885206e-05,9.445826110844278,0.4714045207910317
