x,i,t,s
-4.0,0.00014622559372173198,9.89199932826278e-09,3.124926947849429e-72
-3.9799599198396796,0.0002029016445850322,2.2045978327375995e-08,8.511472116120083e-72
-3.9599198396793587,0.00021247231402833993,4.427109421918884e-08,2.318299236830006e-71
-3.9398797595190382,0.00022249442246210051,8.30775127763734e-08,6.314432190064559e-71
-3.9198396793587174,0.00023298926381600183,1.482979625928205e-07,1.7198838376638898e-70
-3.899799599198397,0.0002439791364332565,2.5434647981485775e-07,4.684507372985275e-70
-3.879759519038076,0.0002554873904478712,4.217501435005716e-07,1.275935551401071e-69
-3.8597194388777556,0.0002675384773964776,6.789221201085749e-07,3.4753099989073833e-69
-3.8396793587174347,0.0002801580021704844,1.0640951584963297e-06,9.465822607766782e-69
-3.8196392785571143,0.00029337277741863665,1.6272742042097242e-06,2.5782389965176907e-68
-3.799599198396794,0.0003072108805157294,2.4320005860217497e-06,7.02243914618703e-68
-3.779559118236473,0.00032170171321853146,3.5566575664872144e-06,1.9127261525603277e-67
-3.7595190380761525,0.0003368760641354829,5.095000614917395e-06,5.2097586871572896e-67
-3.7394789579158316,0.0003527661741432018,7.15558025392697e-06,1.4190000770408136e-66
-3.719438877755511,0.00036940580488848144,9.859755075873451e-06,3.864979818749602e-66
-3.6993987975951903,0.00038683031052152983,1.3338078232758682e-05,1.0527179836729533e-65
-3.67935871743487,0.0004050767128127713,1.7724985886141224e-05,2.8673245530864845e-65
-3.659318637274549,0.00042418377981286225,2.3151913960724637e-05,7.80983152206415e-65
-3.6392785571142285,0.00044419210822292345,2.9739201243077098e-05,2.127190950092063e-64
-3.6192384769539077,0.0004651442096503133,3.7587372090851435e-05,5.793903908643964e-64
-3.599198396793587,0.00048708460093268256,4.676859230134121e-05,1.5781057408666576e-63
-3.579158316633267,0.0005100598987228195,5.731921642927704e-05,4.298341444083603e-63
-3.559118236472946,0.0005341189185348541,6.92343591782708e-05,1.1707541954559607e-62
-3.5390781563126255,0.0005593127784622485,8.246530651185303e-05,3.188823884766831e-62
-3.5190380761523046,0.000585695007788324,9.692033353196576e-05,8.685510423560061e-62
-3.498997995991984,0.0006133216607196088,0.00011246913943715348,2.3657026553941084e-61
-3.4789579158316633,0.0006422514354839919,0.0001289506907057333,6.443546528431652e-61
-3.458917835671343,0.0006725457990465858,0.0001461838433847893,1.7550511586650257e-60
-3.438877755511022,0.0007042691177083162,0.00016397976031344623,4.78029382722742e-60
-3.4188376753507015,0.0007374887938647188,0.00018215490794511053,1.3020252407918568e-59
-3.3987975951903806,0.0007722754092155123,0.00020054334941981637,3.546371392493152e-59
-3.37875751503006,0.0008087028747292249,0.00021900715732972538,9.659374994792712e-59
-3.3587174348697397,0.0008468485876815047,0.00023744403267890967,2.6309575327482253e-58
-3.338677354709419,0.0008867935961007617,0.00025579159083692507,7.166030455237722e-58
-3.318637274549098,0.0009286227709706026,0.00027402819847611483,1.9518366163727154e-57
-3.2985971943887775,0.0009724249865547329,0.0002921706503532592,5.316285216494804e-57
-3.278557114228457,0.001018293309227805,0.0003102693021217033,1.4480150780060698e-56
-3.258517034068136,0.0010663251952131953,0.0003284014842661563,3.944008985122691e-56
-3.2384769539078158,0.001116622697647566,0.00034666409599338815,1.0742434323368883e-55
-3.218436873747495,0.001169292683413027,0.0003651662242012877,2.9259541656015174e-55
-3.1983967935871744,0.0012244470601964572,0.0003840224790544015,7.969523034994726e-55
-3.1783567134268536,0.0012822030142595263,0.00040334752371897517,2.170686682381994e-54
-3.158316633266533,0.0013426832594235555,0.00042325204380888956,5.912374746117454e-54
-3.1382765531062127,0.0014060162977993008,0.0004438401891806501,1.6103740545442937e-53
-3.118236472945892,0.0014723366928146423,0.0004652083531848794,4.386231771341016e-53
-3.098196392785571,0.0015417853551209708,0.00048744504546977934,1.1946931893016393e-52
-3.0781563126252505,0.0016145098419853825,0.0005106315646152318,3.254027354161708e-52
-3.05811623246493,0.0016906646708050833,0.0005348431774114,8.863107378909925e-52
-3.038076152304609,0.001770411647409688,0.0005601505481359269,2.4140753552554476e-51
-3.0180360721442887,0.001853920209849332,0.000586621217882504,6.575300931949566e-51
-2.9979959919839683,0.0019413677883991431,0.0006143209966652008,1.790937563385321e-50
-2.9779559118236474,0.00203294018254437,0.0006433151890636457,4.878038874782861e-50
-2.9579158316633265,0.002128831955747813,0.000673669621216648,1.3286483990493693e-49
-2.937875751503006,0.0022292468488378917,0.0007054514705373362,3.618885813768719e-49
-2.9178356713426856,0.0023343982128960737,0.0007387299200797039,9.856885043828694e-49
-2.8977955911823647,0.002444509462562705,0.0007735766692928578,2.6847540311329398e-48
-2.877755511022044,0.0025598145507254163,0.0008100663349522176,7.312557847265939e-48
-2.8577154308617234,0.002680558465597377,0.0008482767733002859,1.991746791308219e-47
-2.837675350701403,0.0028069977512431682,0.0008882893492969267,5.42498994680748e-47
-2.817635270541082,0.002939401052656553,0.0009301891731007396,1.4776233631400753e-46
-2.7975951903807617,0.0030780496865492036,0.0009740653185394378,4.0246541002020385e-46
-2.777555110220441,0.0032232382390633045,0.0010200110338871508,1.0962090225652001e-45
-2.7575150300601203,0.0033752751916774635,0.0010681239518859009,2.985782606989904e-45
-2.7374749498997994,0.003534483576635662,0.0011185063035437715,8.132479839786387e-45
-2.717434869739479,0.003701201663292685,0.0011712651386303662,2.2150717935625889e-44
